Mock solution (not optimized)

Exam assignments:
Exam 0: Period 0, Room 0
Exam 145: Period 25, Room 0
Exam 146: Period 26, Room 0
Exam 147: Period 20, Room 2
Exam 148: Period 27, Room 0
Exam 149: Period 28, Room 0
Exam 150: Period 29, Room 0
Exam 151: Period 30, Room 0
Exam 152: Period 22, Room 1
Exam 153: Period 31, Room 0
Exam 154: Period 32, Room 0
Exam 155: Period 21, Room 2
Exam 156: Period 19, Room 4
Exam 157: Period 20, Room 3
Exam 158: Period 21, Room 3
Exam 159: Period 22, Room 2
Exam 160: Period 23, Room 1
Exam 161: Period 24, Room 1
Exam 162: Period 25, Room 1
Exam 163: Period 23, Room 2
Exam 164: Period 19, Room 5
Exam 165: Period 20, Room 4
Exam 166: Period 33, Room 0
Exam 167: Period 20, Room 5
Exam 168: Period 34, Room 0
Exam 169: Period 35, Room 0
Exam 170: Period 24, Room 2
Exam 171: Period 26, Room 2
Exam 172: Period 27, Room 2
Exam 173: Period 21, Room 6
Exam 174: Period 25, Room 2
Exam 175: Period 20, Room 6
Exam 176: Period 22, Room 3
Exam 177: Period 22, Room 4
Exam 178: Period 23, Room 3
Exam 179: Period 21, Room 4
Exam 180: Period 22, Room 5
Exam 181: Period 23, Room 4
Exam 182: Period 24, Room 3
Exam 183: Period 21, Room 5
Exam 184: Period 22, Room 6
Exam 185: Period 23, Room 5
Exam 186: Period 24, Room 4
Exam 187: Period 25, Room 3
Exam 188: Period 24, Room 5
Exam 189: Period 26, Room 1
Exam 190: Period 23, Room 6
Exam 191: Period 24, Room 6
Exam 192: Period 25, Room 4
Exam 193: Period 26, Room 3
Exam 194: Period 27, Room 1
Exam 195: Period 28, Room 1
Exam 196: Period 29, Room 1
Exam 197: Period 36, Room 0
Exam 198: Period 28, Room 2
Exam 199: Period 33, Room 1
Exam 200: Period 37, Room 0
Exam 201: Period 25, Room 6
Exam 202: Period 26, Room 4
Exam 203: Period 27, Room 3
Exam 204: Period 26, Room 5
Exam 205: Period 28, Room 3
Exam 206: Period 29, Room 2
Exam 207: Period 25, Room 5
Exam 208: Period 26, Room 6
Exam 209: Period 27, Room 4
Exam 210: Period 28, Room 4
Exam 211: Period 29, Room 3
Exam 212: Period 30, Room 1
Exam 213: Period 31, Room 1
Exam 214: Period 32, Room 1
Exam 215: Period 33, Room 2
Exam 216: Period 27, Room 5
Exam 217: Period 27, Room 6
Exam 218: Period 29, Room 4
Exam 219: Period 28, Room 5
Exam 220: Period 30, Room 2
Exam 221: Period 32, Room 2
Exam 222: Period 31, Room 2
Exam 223: Period 33, Room 3
Exam 224: Period 28, Room 6
Exam 225: Period 29, Room 5
Exam 226: Period 29, Room 6
Exam 227: Period 30, Room 3
Exam 228: Period 30, Room 4
Exam 229: Period 30, Room 5
Exam 230: Period 30, Room 6
Exam 231: Period 34, Room 1
Exam 232: Period 35, Room 1
Exam 233: Period 33, Room 4
Exam 234: Period 36, Room 1
Exam 235: Period 32, Room 3
Exam 236: Period 34, Room 2
Exam 237: Period 33, Room 5
Exam 238: Period 35, Room 2
Exam 239: Period 36, Room 2
Exam 240: Period 31, Room 3
Exam 241: Period 32, Room 4
Exam 242: Period 38, Room 0
Exam 243: Period 39, Room 0
Exam 244: Period 37, Room 2
Exam 245: Period 31, Room 6
Exam 246: Period 32, Room 5
Exam 247: Period 33, Room 6
Exam 248: Period 34, Room 6
Exam 249: Period 35, Room 3
Exam 250: Period 32, Room 6
Exam 251: Period 37, Room 1
Exam 252: Period 31, Room 4
Exam 253: Period 34, Room 3
Exam 254: Period 35, Room 4
Exam 255: Period 35, Room 5
Exam 256: Period 36, Room 3
Exam 257: Period 38, Room 1
Exam 258: Period 39, Room 1
Exam 259: Period 40, Room 0
Exam 260: Period 41, Room 0
Exam 261: Period 42, Room 0
Exam 262: Period 43, Room 0
Exam 263: Period 44, Room 0
Exam 264: Period 45, Room 0
Exam 265: Period 46, Room 0
Exam 266: Period 47, Room 0
Exam 267: Period 31, Room 5
Exam 268: Period 34, Room 4
Exam 269: Period 35, Room 6
Exam 270: Period 38, Room 2
Exam 271: Period 39, Room 2
Exam 272: Period 37, Room 3
Exam 273: Period 36, Room 4
Exam 274: Period 37, Room 4
Exam 275: Period 39, Room 3
Exam 276: Period 36, Room 5
Exam 277: Period 40, Room 1
Exam 278: Period 41, Room 1
Exam 279: Period 38, Room 3
Exam 280: Period 40, Room 2
Exam 281: Period 36, Room 6
Exam 282: Period 41, Room 2
Exam 283: Period 48, Room 0
Exam 284: Period 38, Room 4
Exam 285: Period 37, Room 6
Exam 286: Period 39, Room 4
Exam 287: Period 34, Room 5
Exam 288: Period 40, Room 3
Exam 289: Period 39, Room 5
Exam 290: Period 41, Room 6
Exam 291: Period 40, Room 4
Exam 292: Period 42, Room 1
Exam 293: Period 37, Room 5
Exam 294: Period 39, Room 6
Exam 295: Period 43, Room 1
Exam 296: Period 44, Room 1
Exam 297: Period 45, Room 1
Exam 298: Period 44, Room 2
Exam 299: Period 46, Room 2
Exam 300: Period 38, Room 5
Exam 301: Period 38, Room 6
Exam 302: Period 49, Room 0
Exam 303: Period 43, Room 2
Exam 304: Period 47, Room 1
Exam 305: Period 48, Room 1
Exam 306: Period 40, Room 5
Exam 307: Period 41, Room 3
Exam 308: Period 40, Room 6
Exam 309: Period 42, Room 2
Exam 310: Period 41, Room 4
Exam 311: Period 42, Room 3
Exam 312: Period 41, Room 5
Exam 313: Period 42, Room 4
Exam 314: Period 42, Room 5
Exam 315: Period 42, Room 6
Exam 316: Period 45, Room 2
Exam 317: Period 46, Room 1
Exam 318: Period 49, Room 1
Exam 319: Period 45, Room 3
Exam 320: Period 46, Room 3
Exam 321: Period 46, Room 4
Exam 322: Period 47, Room 2
Exam 323: Period 43, Room 3
Exam 324: Period 48, Room 2
Exam 325: Period 46, Room 5
Exam 326: Period 47, Room 3
Exam 327: Period 48, Room 3
Exam 328: Period 50, Room 0
Exam 329: Period 46, Room 6
Exam 330: Period 48, Room 4
Exam 331: Period 43, Room 4
Exam 332: Period 48, Room 5
Exam 333: Period 43, Room 5
Exam 334: Period 47, Room 4
Exam 335: Period 43, Room 6
Exam 336: Period 44, Room 3
Exam 337: Period 45, Room 4
Exam 338: Period 47, Room 5
Exam 339: Period 48, Room 6
Exam 340: Period 44, Room 4
Exam 341: Period 44, Room 5
Exam 342: Period 45, Room 5
Exam 343: Period 47, Room 6
Exam 344: Period 49, Room 2
Exam 345: Period 50, Room 1
Exam 346: Period 51, Room 0
Exam 347: Period 52, Room 0
Exam 348: Period 50, Room 2
Exam 349: Period 51, Room 2
Exam 350: Period 53, Room 0
Exam 351: Period 44, Room 6
Exam 352: Period 45, Room 6
Exam 353: Period 49, Room 6
Exam 354: Period 32, Room 3
Exam 355: Period 52, Room 2
Exam 356: Period 49, Room 3
Exam 357: Period 50, Room 4
Exam 358: Period 51, Room 1
Exam 359: Period 53, Room 1
Exam 360: Period 36, Room 2
Exam 361: Period 53, Room 2
Exam 362: Period 49, Room 5
Exam 363: Period 22, Room 0
Exam 364: Period 30, Room 3
Exam 365: Period 18, Room 0
Exam 366: Period 13, Room 1
Exam 367: Period 26, Room 3
Exam 368: Period 40, Room 5
Exam 369: Period 50, Room 3
Exam 370: Period 29, Room 0
Exam 371: Period 25, Room 6
Exam 372: Period 51, Room 3
Exam 373: Period 8, Room 4
Exam 374: Period 50, Room 6
Exam 375: Period 51, Room 4
Exam 376: Period 52, Room 6
Exam 377: Period 50, Room 5
Exam 378: Period 49, Room 4
Exam 379: Period 53, Room 6
Exam 380: Period 26, Room 0
Exam 381: Period 19, Room 0
Exam 382: Period 49, Room 5
Exam 383: Period 21, Room 4
Exam 384: Period 51, Room 5
Exam 385: Period 27, Room 1
Exam 386: Period 51, Room 6
Exam 387: Period 44, Room 1
Exam 388: Period 18, Room 0
Exam 389: Period 3, Room 6
Exam 390: Period 7, Room 3
Exam 391: Period 16, Room 2
Exam 392: Period 52, Room 1
Exam 393: Period 53, Room 4
Exam 394: Period 52, Room 3
Exam 395: Period 52, Room 4
Exam 396: Period 53, Room 3
Exam 397: Period 26, Room 1
Exam 398: Period 36, Room 0
Exam 399: Period 5, Room 2
Exam 400: Period 53, Room 1
Exam 401: Period 52, Room 5
Exam 402: Period 53, Room 5
Exam 403: Period 11, Room 6
Exam 404: Period 15, Room 2
Exam 405: Period 8, Room 1
Exam 406: Period 3, Room 2
Exam 407: Period 0, Room 3
Exam 408: Period 4, Room 5
Exam 409: Period 8, Room 5
Exam 410: Period 10, Room 0
Exam 411: Period 28, Room 0
Exam 412: Period 24, Room 1
Exam 413: Period 43, Room 0
Exam 414: Period 45, Room 0
Exam 415: Period 30, Room 4
Exam 416: Period 6, Room 2
Exam 417: Period 9, Room 0
Exam 418: Period 19, Room 6
Exam 419: Period 9, Room 1
Exam 420: Period 20, Room 0
Exam 421: Period 25, Room 0
Exam 422: Period 19, Room 4
Exam 423: Period 30, Room 2
Exam 424: Period 33, Room 3
Exam 425: Period 26, Room 4
Exam 426: Period 52, Room 0
Exam 427: Period 40, Room 0
Exam 428: Period 12, Room 2
Exam 429: Period 30, Room 3
Exam 430: Period 39, Room 2
Exam 431: Period 29, Room 6
Exam 432: Period 34, Room 5
Exam 433: Period 51, Room 1
Exam 434: Period 53, Room 3
Exam 435: Period 47, Room 4
Exam 436: Period 34, Room 2
Exam 437: Period 14, Room 6
Exam 438: Period 40, Room 1
Exam 439: Period 11, Room 0
Exam 440: Period 45, Room 1
Exam 441: Period 24, Room 4
Exam 442: Period 2, Room 0
Exam 443: Period 53, Room 0
Exam 444: Period 5, Room 5
Exam 445: Period 1, Room 2
Exam 446: Period 0, Room 0
Exam 447: Period 39, Room 1
Exam 448: Period 20, Room 5
Exam 449: Period 30, Room 3
Exam 450: Period 36, Room 4
Exam 451: Period 28, Room 5
Exam 452: Period 3, Room 1
Exam 453: Period 38, Room 0
Exam 454: Period 23, Room 6
Exam 455: Period 43, Room 1
Exam 456: Period 33, Room 4
Exam 457: Period 44, Room 1
Exam 458: Period 45, Room 2
Exam 459: Period 9, Room 2
Exam 460: Period 21, Room 2
Exam 461: Period 29, Room 2
Exam 462: Period 32, Room 3
Exam 463: Period 51, Room 6
Exam 464: Period 4, Room 2
Exam 465: Period 21, Room 6
Exam 466: Period 53, Room 2
Exam 467: Period 6, Room 5
Exam 468: Period 13, Room 2
Exam 469: Period 28, Room 3
Exam 470: Period 3, Room 0
Exam 471: Period 20, Room 6
Exam 472: Period 8, Room 3
Exam 473: Period 32, Room 0
Exam 474: Period 7, Room 3
Exam 475: Period 16, Room 0
Exam 476: Period 2, Room 2
Exam 477: Period 37, Room 2
Exam 478: Period 20, Room 6
Exam 479: Period 30, Room 1
Exam 480: Period 50, Room 0
Exam 481: Period 7, Room 3
Exam 482: Period 5, Room 6
Exam 483: Period 2, Room 5
Exam 484: Period 10, Room 2
Exam 485: Period 42, Room 1
Exam 486: Period 34, Room 2
Exam 487: Period 47, Room 1
Exam 488: Period 40, Room 3
Exam 489: Period 51, Room 3
Exam 490: Period 9, Room 0
Exam 491: Period 50, Room 0
Exam 492: Period 46, Room 5
Exam 493: Period 50, Room 6
Exam 494: Period 25, Room 3
Exam 495: Period 39, Room 4
Exam 496: Period 12, Room 4
Exam 497: Period 21, Room 1
Exam 498: Period 36, Room 0
Exam 499: Period 42, Room 2
Exam 500: Period 30, Room 6
Exam 501: Period 44, Room 1
Exam 502: Period 50, Room 0
Exam 503: Period 15, Room 5
Exam 504: Period 12, Room 3
Exam 505: Period 46, Room 3
Exam 506: Period 40, Room 1
Exam 507: Period 19, Room 6
Exam 508: Period 7, Room 6
Exam 509: Period 22, Room 5
Exam 510: Period 45, Room 5
Exam 511: Period 36, Room 3
Exam 512: Period 47, Room 2
Exam 513: Period 18, Room 2
Exam 514: Period 2, Room 6
Exam 515: Period 43, Room 3
Exam 516: Period 43, Room 6
Exam 517: Period 47, Room 1
Exam 518: Period 8, Room 0
Exam 519: Period 42, Room 6
Exam 520: Period 30, Room 5
Exam 521: Period 29, Room 0
Exam 522: Period 53, Room 6
Exam 523: Period 2, Room 6
Exam 524: Period 16, Room 1
Exam 525: Period 35, Room 2
Exam 526: Period 6, Room 4
Exam 527: Period 3, Room 0
Exam 528: Period 43, Room 5
Exam 529: Period 21, Room 3
Exam 530: Period 48, Room 3
Exam 531: Period 39, Room 5
Exam 532: Period 3, Room 5
Exam 533: Period 26, Room 1
Exam 534: Period 41, Room 6
Exam 535: Period 31, Room 6
Exam 536: Period 7, Room 4
Exam 537: Period 15, Room 1
Exam 538: Period 30, Room 3
Exam 539: Period 23, Room 4
Exam 540: Period 27, Room 2
Exam 541: Period 29, Room 3
Exam 542: Period 1, Room 5
Exam 543: Period 50, Room 6
Exam 544: Period 33, Room 1
Exam 545: Period 35, Room 3
Exam 546: Period 42, Room 3
Exam 547: Period 42, Room 2
Exam 548: Period 45, Room 5
Exam 549: Period 26, Room 4
Exam 550: Period 9, Room 3
Exam 551: Period 45, Room 6
Exam 552: Period 41, Room 4
Exam 553: Period 10, Room 4
Exam 554: Period 36, Room 5
Exam 555: Period 5, Room 3
Exam 556: Period 45, Room 6
Exam 557: Period 9, Room 6
Exam 558: Period 44, Room 0
Exam 559: Period 41, Room 5
Exam 560: Period 52, Room 2
Exam 561: Period 3, Room 1
Exam 562: Period 46, Room 5
Exam 563: Period 52, Room 0
Exam 564: Period 37, Room 2
Exam 565: Period 10, Room 2
Exam 566: Period 26, Room 4
Exam 567: Period 36, Room 6
Exam 568: Period 11, Room 0
Exam 569: Period 32, Room 5
Exam 570: Period 32, Room 0
Exam 571: Period 11, Room 6
Exam 572: Period 20, Room 4
Exam 573: Period 5, Room 3
Exam 574: Period 41, Room 1
Exam 575: Period 44, Room 0
Exam 576: Period 45, Room 1
Exam 577: Period 31, Room 4
Exam 578: Period 42, Room 4
Exam 579: Period 0, Room 0
Exam 580: Period 12, Room 1
Exam 581: Period 16, Room 4
Exam 582: Period 37, Room 5
Exam 583: Period 18, Room 4
Exam 584: Period 43, Room 5
Exam 585: Period 0, Room 6
Exam 586: Period 29, Room 6
Exam 587: Period 23, Room 6
Exam 588: Period 6, Room 6
Exam 589: Period 26, Room 5
Exam 590: Period 22, Room 5
Exam 591: Period 17, Room 3
Exam 592: Period 11, Room 2
Exam 593: Period 17, Room 4
Exam 594: Period 4, Room 0
Exam 595: Period 38, Room 6
Exam 596: Period 26, Room 5
Exam 597: Period 16, Room 3
Exam 598: Period 9, Room 1
Exam 599: Period 32, Room 5
Exam 600: Period 23, Room 3
Exam 601: Period 10, Room 4
Exam 602: Period 21, Room 3
Exam 603: Period 34, Room 6
Exam 604: Period 17, Room 0
Exam 605: Period 12, Room 3
Exam 606: Period 37, Room 2
