Objective value: 437250

Exam assignments:
Exam 0: Period 24, Room 21
Exam 89: Period 1, Room 28
Exam 90: Period 4, Room 28
Exam 91: Period 2, Room 0
Exam 92: Period 6, Room 0
Exam 93: Period 7, Room 0
Exam 94: Period 8, Room 0
Exam 95: Period 9, Room 0
Exam 96: Period 10, Room 1
Exam 97: Period 2, Room 39
Exam 98: Period 14, Room 30
Exam 99: Period 3, Room 39
Exam 100: Period 0, Room 39
Exam 101: Period 13, Room 39
Exam 102: Period 7, Room 39
Exam 103: Period 16, Room 30
Exam 104: Period 15, Room 30
Exam 105: Period 4, Room 39
Exam 106: Period 1, Room 39
Exam 107: Period 9, Room 39
Exam 108: Period 11, Room 39
Exam 109: Period 5, Room 39
Exam 110: Period 8, Room 39
Exam 111: Period 17, Room 30
Exam 112: Period 13, Room 30
Exam 113: Period 10, Room 39
Exam 114: Period 12, Room 39
Exam 115: Period 6, Room 39
Exam 116: Period 14, Room 39
Exam 117: Period 16, Room 39
Exam 118: Period 15, Room 39
Exam 119: Period 17, Room 39
Exam 120: Period 19, Room 21
Exam 121: Period 23, Room 30
Exam 122: Period 22, Room 30
Exam 123: Period 20, Room 30
Exam 124: Period 7, Room 3
Exam 125: Period 1, Room 23
Exam 126: Period 12, Room 36
Exam 127: Period 0, Room 20
Exam 128: Period 25, Room 39
Exam 129: Period 21, Room 30
Exam 130: Period 24, Room 39
Exam 131: Period 2, Room 3
Exam 132: Period 2, Room 1
Exam 133: Period 21, Room 39
Exam 134: Period 10, Room 36
Exam 135: Period 23, Room 39
Exam 136: Period 20, Room 39
Exam 137: Period 12, Room 21
Exam 138: Period 4, Room 0
Exam 139: Period 17, Room 21
Exam 140: Period 3, Room 17
Exam 141: Period 0, Room 18
Exam 142: Period 18, Room 30
Exam 143: Period 1, Room 0
Exam 144: Period 19, Room 39
Exam 145: Period 22, Room 39
Exam 146: Period 5, Room 18
Exam 147: Period 6, Room 17
Exam 148: Period 3, Room 21
Exam 149: Period 0, Room 36
Exam 150: Period 4, Room 17
Exam 151: Period 1, Room 1
Exam 152: Period 1, Room 17
Exam 153: Period 5, Room 21
Exam 154: Period 2, Room 21
Exam 155: Period 1, Room 36
Exam 156: Period 7, Room 21
Exam 157: Period 8, Room 36
Exam 158: Period 4, Room 36
Exam 159: Period 4, Room 1
Exam 160: Period 9, Room 36
Exam 161: Period 6, Room 21
Exam 162: Period 10, Room 21
Exam 163: Period 8, Room 21
Exam 164: Period 9, Room 21
Exam 165: Period 0, Room 3
Exam 166: Period 1, Room 20
Exam 167: Period 3, Room 3
Exam 168: Period 4, Room 22
Exam 169: Period 2, Room 17
Exam 170: Period 5, Room 3
Exam 171: Period 3, Room 18
Exam 172: Period 6, Room 18
Exam 173: Period 9, Room 17
Exam 174: Period 8, Room 18
Exam 175: Period 9, Room 1
Exam 176: Period 18, Room 21
Exam 177: Period 4, Room 20
Exam 178: Period 19, Room 30
Exam 179: Period 8, Room 17
Exam 180: Period 7, Room 1
Exam 181: Period 11, Room 30
Exam 182: Period 13, Room 21
Exam 183: Period 8, Room 30
Exam 184: Period 6, Room 30
Exam 185: Period 15, Room 21
Exam 186: Period 3, Room 30
Exam 187: Period 9, Room 30
Exam 188: Period 7, Room 30
Exam 189: Period 5, Room 30
Exam 190: Period 4, Room 30
Exam 191: Period 18, Room 39
Exam 192: Period 12, Room 30
Exam 193: Period 14, Room 21
Exam 194: Period 10, Room 30
Exam 195: Period 1, Room 30
Exam 196: Period 2, Room 30
Exam 197: Period 0, Room 30
Exam 198: Period 16, Room 21
Exam 199: Period 1, Room 22
Exam 200: Period 3, Room 20
Exam 201: Period 7, Room 18
Exam 202: Period 9, Room 18
Exam 203: Period 5, Room 0
Exam 204: Period 3, Room 0
Exam 205: Period 2, Room 18
Exam 206: Period 4, Room 23
Exam 207: Period 11, Room 36
Exam 208: Period 6, Room 3
Exam 209: Period 0, Room 0
Exam 210: Period 7, Room 17
Exam 211: Period 9, Room 3
Exam 212: Period 5, Room 20
Exam 213: Period 8, Room 3
